sample_accession	run_accession	fastq_ftp	sample_title
SAMEA4470762	ERR1662544	ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/004/ERR1662544/ERR1662544_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/004/ERR1662544/ERR1662544_2.fastq.gz	D. melanogaster parasitized 50
SAMEA4470763	ERR1662545	ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/005/ERR1662545/ERR1662545_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/005/ERR1662545/ERR1662545_2.fastq.gz	D. simulans parasitized 5
SAMEA4470764	ERR1662546	ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/006/ERR1662546/ERR1662546_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/006/ERR1662546/ERR1662546_2.fastq.gz	D. yakuba control 50
SAMEA4470765	ERR1662547	ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/007/ERR1662547/ERR1662547_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/007/ERR1662547/ERR1662547_2.fastq.gz	D. simulans control 5
SAMEA4470766	ERR1662548	ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/008/ERR1662548/ERR1662548_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/008/ERR1662548/ERR1662548_2.fastq.gz	D. melanogaster control 5
SAMEA4470767	ERR1662549	ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/009/ERR1662549/ERR1662549_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/009/ERR1662549/ERR1662549_2.fastq.gz	D. yakuba parasitized 5
SAMEA4470768	ERR1662550	ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/000/ERR1662550/ERR1662550_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/000/ERR1662550/ERR1662550_2.fastq.gz	D. melanogaster parasitized 50
SAMEA4470769	ERR1662551	ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/001/ERR1662551/ERR1662551_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/001/ERR1662551/ERR1662551_2.fastq.gz	D. melanogaster control 50
SAMEA4470771	ERR1662553	ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/003/ERR1662553/ERR1662553_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/003/ERR1662553/ERR1662553_2.fastq.gz	D.sechellia control 5
SAMEA4470772	ERR1662554	ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/004/ERR1662554/ERR1662554_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/004/ERR1662554/ERR1662554_2.fastq.gz	D. melanogaster control 5
SAMEA4470773	ERR1662555	ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/005/ERR1662555/ERR1662555_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/005/ERR1662555/ERR1662555_2.fastq.gz	D.sechellia parasitized 5
SAMEA4470774	ERR1662556	ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/006/ERR1662556/ERR1662556_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/006/ERR1662556/ERR1662556_2.fastq.gz	D. yakuba control 5
SAMEA4470775	ERR1662557	ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/007/ERR1662557/ERR1662557_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/007/ERR1662557/ERR1662557_2.fastq.gz	D. melanogaster parasitized 5
SAMEA4470776	ERR1662558	ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/008/ERR1662558/ERR1662558_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/008/ERR1662558/ERR1662558_2.fastq.gz	D. melanogaster parasitized 50
SAMEA4470777	ERR1662559	ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/009/ERR1662559/ERR1662559_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/009/ERR1662559/ERR1662559_2.fastq.gz	D. melanogaster control 50
SAMEA4470778	ERR1662560	ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/000/ERR1662560/ERR1662560_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/000/ERR1662560/ERR1662560_2.fastq.gz	D. melanogaster control 5
SAMEA4470779	ERR1662561	ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/001/ERR1662561/ERR1662561_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/001/ERR1662561/ERR1662561_2.fastq.gz	D. simulans parasitized 5
SAMEA4470780	ERR1662562	ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/002/ERR1662562/ERR1662562_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/002/ERR1662562/ERR1662562_2.fastq.gz	D.sechellia control 5
SAMEA4470781	ERR1662563	ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/003/ERR1662563/ERR1662563_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/003/ERR1662563/ERR1662563_2.fastq.gz	D.sechellia parasitized 5
SAMEA4470782	ERR1662564	ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/004/ERR1662564/ERR1662564_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/004/ERR1662564/ERR1662564_2.fastq.gz	D. simulans control 5
SAMEA4470783	ERR1662565	ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/005/ERR1662565/ERR1662565_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/005/ERR1662565/ERR1662565_2.fastq.gz	D. melanogaster control 50
SAMEA4470784	ERR1662566	ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/006/ERR1662566/ERR1662566_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/006/ERR1662566/ERR1662566_2.fastq.gz	D. melanogaster control 5
SAMEA4470785	ERR1662567	ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/007/ERR1662567/ERR1662567_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/007/ERR1662567/ERR1662567_2.fastq.gz	D. simulans parasitized 50
SAMEA4470786	ERR1662568	ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/008/ERR1662568/ERR1662568_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/008/ERR1662568/ERR1662568_2.fastq.gz	D. melanogaster parasitized 5
SAMEA4470787	ERR1662569	ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/009/ERR1662569/ERR1662569_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/009/ERR1662569/ERR1662569_2.fastq.gz	D. melanogaster control 50
SAMEA4470788	ERR1662570	ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/000/ERR1662570/ERR1662570_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/000/ERR1662570/ERR1662570_2.fastq.gz	D. melanogaster parasitized 50
SAMEA4470789	ERR1662571	ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/001/ERR1662571/ERR1662571_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/001/ERR1662571/ERR1662571_2.fastq.gz	D. melanogaster parasitized 50
SAMEA4470790	ERR1662572	ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/002/ERR1662572/ERR1662572_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/002/ERR1662572/ERR1662572_2.fastq.gz	D. simulans control 50
SAMEA4470791	ERR1662573	ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/003/ERR1662573/ERR1662573_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/003/ERR1662573/ERR1662573_2.fastq.gz	D. yakuba control 50
SAMEA4470792	ERR1662574	ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/004/ERR1662574/ERR1662574_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/004/ERR1662574/ERR1662574_2.fastq.gz	D. melanogaster parasitized 5
SAMEA4470793	ERR1662575	ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/005/ERR1662575/ERR1662575_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/005/ERR1662575/ERR1662575_2.fastq.gz	D. melanogaster control 5
SAMEA4470794	ERR1662576	ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/006/ERR1662576/ERR1662576_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/006/ERR1662576/ERR1662576_2.fastq.gz	D. melanogaster control 5
SAMEA4470795	ERR1662577	ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/007/ERR1662577/ERR1662577_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/007/ERR1662577/ERR1662577_2.fastq.gz	D. melanogaster control 50
SAMEA4470796	ERR1662578	ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/008/ERR1662578/ERR1662578_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/008/ERR1662578/ERR1662578_2.fastq.gz	D. melanogaster parasitized 5
SAMEA4470797	ERR1662579	ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/009/ERR1662579/ERR1662579_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/009/ERR1662579/ERR1662579_2.fastq.gz	D. melanogaster parasitized 50
SAMEA4470798	ERR1662580	ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/000/ERR1662580/ERR1662580_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/000/ERR1662580/ERR1662580_2.fastq.gz	D. melanogaster control 5
SAMEA4470799	ERR1662581	ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/001/ERR1662581/ERR1662581_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/001/ERR1662581/ERR1662581_2.fastq.gz	D. yakuba parasitized 5
SAMEA4470800	ERR1662582	ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/002/ERR1662582/ERR1662582_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/002/ERR1662582/ERR1662582_2.fastq.gz	D.sechellia control 50
SAMEA4470801	ERR1662583	ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/003/ERR1662583/ERR1662583_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/003/ERR1662583/ERR1662583_2.fastq.gz	D. melanogaster control 50
SAMEA4470802	ERR1662584	ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/004/ERR1662584/ERR1662584_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/004/ERR1662584/ERR1662584_2.fastq.gz	D. melanogaster parasitized 50
SAMEA4470803	ERR1662585	ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/005/ERR1662585/ERR1662585_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/005/ERR1662585/ERR1662585_2.fastq.gz	D. melanogaster parasitized 5
SAMEA4470804	ERR1662586	ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/006/ERR1662586/ERR1662586_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/006/ERR1662586/ERR1662586_2.fastq.gz	D. yakuba control 5
SAMEA4470805	ERR1662587	ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/007/ERR1662587/ERR1662587_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/007/ERR1662587/ERR1662587_2.fastq.gz	D.sechellia parasitized 50
SAMEA4470806	ERR1662588	ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/008/ERR1662588/ERR1662588_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/008/ERR1662588/ERR1662588_2.fastq.gz	D.sechellia control 5
SAMEA4470807	ERR1662589	ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/009/ERR1662589/ERR1662589_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/009/ERR1662589/ERR1662589_2.fastq.gz	D. melanogaster parasitized 5
SAMEA4470808	ERR1662590	ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/000/ERR1662590/ERR1662590_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/000/ERR1662590/ERR1662590_2.fastq.gz	D. melanogaster control 5
SAMEA4470809	ERR1662591	ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/001/ERR1662591/ERR1662591_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/001/ERR1662591/ERR1662591_2.fastq.gz	D.sechellia parasitized 5
SAMEA4470810	ERR1662592	ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/002/ERR1662592/ERR1662592_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/002/ERR1662592/ERR1662592_2.fastq.gz	D. melanogaster control 5
SAMEA4470811	ERR1662593	ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/003/ERR1662593/ERR1662593_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/003/ERR1662593/ERR1662593_2.fastq.gz	D. melanogaster control 50
SAMEA4470812	ERR1662594	ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/004/ERR1662594/ERR1662594_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/004/ERR1662594/ERR1662594_2.fastq.gz	D. melanogaster parasitized 50
SAMEA4470813	ERR1662595	ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/005/ERR1662595/ERR1662595_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/005/ERR1662595/ERR1662595_2.fastq.gz	D. melanogaster parasitized 5
SAMEA4470814	ERR1662596	ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/006/ERR1662596/ERR1662596_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/006/ERR1662596/ERR1662596_2.fastq.gz	D. melanogaster control 50
SAMEA4470815	ERR1662597	ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/007/ERR1662597/ERR1662597_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/007/ERR1662597/ERR1662597_2.fastq.gz	D. yakuba parasitized 50
SAMEA4470816	ERR1662598	ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/008/ERR1662598/ERR1662598_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/008/ERR1662598/ERR1662598_2.fastq.gz	D. melanogaster parasitized 5
SAMEA4470817	ERR1662599	ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/009/ERR1662599/ERR1662599_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/009/ERR1662599/ERR1662599_2.fastq.gz	D. melanogaster control 5
SAMEA4470818	ERR1662600	ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/000/ERR1662600/ERR1662600_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/000/ERR1662600/ERR1662600_2.fastq.gz	D. melanogaster parasitized 50
SAMEA4470819	ERR1662601	ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/001/ERR1662601/ERR1662601_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/001/ERR1662601/ERR1662601_2.fastq.gz	D. melanogaster parasitized 5
SAMEA4470820	ERR1662602	ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/002/ERR1662602/ERR1662602_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/002/ERR1662602/ERR1662602_2.fastq.gz	D. yakuba control 50
SAMEA4470821	ERR1662603	ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/003/ERR1662603/ERR1662603_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/003/ERR1662603/ERR1662603_2.fastq.gz	D. melanogaster control 5
SAMEA4470822	ERR1662604	ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/004/ERR1662604/ERR1662604_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/004/ERR1662604/ERR1662604_2.fastq.gz	D.sechellia parasitized 50
SAMEA4470823	ERR1662605	ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/005/ERR1662605/ERR1662605_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/005/ERR1662605/ERR1662605_2.fastq.gz	D. melanogaster control 50
SAMEA4470824	ERR1662606	ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/006/ERR1662606/ERR1662606_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/006/ERR1662606/ERR1662606_2.fastq.gz	D. simulans parasitized 5
SAMEA4470825	ERR1662607	ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/007/ERR1662607/ERR1662607_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/007/ERR1662607/ERR1662607_2.fastq.gz	D. melanogaster parasitized 50
SAMEA4470826	ERR1662608	ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/008/ERR1662608/ERR1662608_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/008/ERR1662608/ERR1662608_2.fastq.gz	D.sechellia control 50
SAMEA4470827	ERR1662609	ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/009/ERR1662609/ERR1662609_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/009/ERR1662609/ERR1662609_2.fastq.gz	D. simulans control 5
SAMEA4470828	ERR1662610	ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/000/ERR1662610/ERR1662610_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/000/ERR1662610/ERR1662610_2.fastq.gz	D. melanogaster control 50
SAMEA4470829	ERR1662611	ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/001/ERR1662611/ERR1662611_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/001/ERR1662611/ERR1662611_2.fastq.gz	D. melanogaster parasitized 50
SAMEA4470830	ERR1662612	ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/002/ERR1662612/ERR1662612_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/002/ERR1662612/ERR1662612_2.fastq.gz	D. simulans control 50
SAMEA4470831	ERR1662613	ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/003/ERR1662613/ERR1662613_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/003/ERR1662613/ERR1662613_2.fastq.gz	D. simulans parasitized 50
SAMEA4470832	ERR1662614	ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/004/ERR1662614/ERR1662614_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/004/ERR1662614/ERR1662614_2.fastq.gz	D. yakuba parasitized 5
SAMEA4470833	ERR1662615	ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/005/ERR1662615/ERR1662615_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR166/005/ERR1662615/ERR1662615_2.fastq.gz	D. yakuba control 5
